epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.11074516177177429,0.15555556118488312,2.8755457401275635,2.629136800765991
2,0.20076848566532135,0.3777777850627899,2.4678633213043213,2.224848985671997
3,0.29188966751098633,0.384362131357193,2.1412339210510254,1.9140363931655884
4,0.3187868893146515,0.4386831223964691,1.917609453201294,1.6807165145874023
5,0.34060657024383545,0.48765432834625244,1.767695426940918,1.4809787273406982
6,0.3622890114784241,0.501646101474762,1.6526068449020386,1.3482331037521362
7,0.40414437651634216,0.5539094805717468,1.543365478515625,1.2593153715133667
8,0.41622066497802734,0.5790123343467712,1.5008280277252197,1.2108834981918335
9,0.4421572685241699,0.5831275582313538,1.4497838020324707,1.1487040519714355
10,0.45711541175842285,0.6074073910713196,1.4147257804870605,1.1158668994903564
11,0.46315357089042664,0.6106995940208435,1.387266755104065,1.083728551864624
12,0.4704267978668213,0.6193415522575378,1.3712173700332642,1.0690231323242188
13,0.48414984345436096,0.6176954507827759,1.3469815254211426,1.0446653366088867
14,0.4838753938674927,0.6411522626876831,1.3242695331573486,1.0162596702575684
15,0.4967750906944275,0.6358024477958679,1.3126869201660156,1.0039653778076172
16,0.5041855573654175,0.6399176716804504,1.3139859437942505,0.9911804795265198
17,0.5126938223838806,0.6580246686935425,1.2974814176559448,0.9754785299301147
18,0.515438437461853,0.6646090745925903,1.2637879848480225,0.95183926820755
19,0.5232605934143066,0.6576131582260132,1.2548151016235352,0.9387912154197693
20,0.5137916803359985,0.6641975045204163,1.2630233764648438,0.9262293577194214
21,0.5265541672706604,0.6732510328292847,1.2606675624847412,0.9330407381057739
22,0.5372581481933594,0.6761316657066345,1.2273850440979004,0.9169578552246094
23,0.5314944386482239,0.6588477492332458,1.2399598360061646,0.902775764465332
24,0.5489227175712585,0.6790123581886292,1.217302680015564,0.8887127637863159
25,0.5411005616188049,0.6847736835479736,1.2155455350875854,0.8788599371910095
26,0.5415123105049133,0.6987654566764832,1.216930627822876,0.8648601174354553
27,0.5420612096786499,0.7049382925033569,1.2064011096954346,0.8688167333602905
28,0.5493344068527222,0.683539092540741,1.2007797956466675,0.8538356423377991
29,0.5541375279426575,0.7057613134384155,1.1804792881011963,0.8388829231262207
30,0.555784285068512,0.7082304358482361,1.1896034479141235,0.8363778591156006
31,0.5511184334754944,0.6971193552017212,1.184291958808899,0.8427245616912842
32,0.559077799320221,0.7086419463157654,1.1770614385604858,0.8197275400161743
33,0.5575682520866394,0.7238683104515076,1.167087197303772,0.8154860734939575
34,0.5586661100387573,0.7205761075019836,1.1739403009414673,0.8059635758399963
35,0.5644298195838928,0.7337448596954346,1.1617920398712158,0.8071428537368774
36,0.5644298195838928,0.7263374328613281,1.1644787788391113,0.7983431816101074
37,0.576094388961792,0.7259259223937988,1.1527652740478516,0.7933881878852844
38,0.5675861239433289,0.7382715940475464,1.1463900804519653,0.7859020233154297
39,0.569507360458374,0.7353909611701965,1.1456623077392578,0.7783471941947937
